Section,Beam Mark,Width_mm,Depth_mm,Prov_BotBar_No,Prov_BotBar_Dia_mm,Prov_BotBar_Area_mm2,Positive_Moment_kNm,Min_BotBar_mm2,Min_BotBar_Area-crk_mm2,Req_BotBar_Area_cl6.1_mm2,Req_BotBar_Area_mm2,BotBar_utilisation,BotBar _Design_Status,BotBar_Spacing,Prov_TopBar_No,Prov_TopBar_Dia_mm,Prov_TopBar_Area_mm2,Negative_Moment_kNm,Min_TopBar_mm2,Min_TopBar_Area-crk_mm2,Req_TopBar_Area_cl6.1_mm2,Req_TopBar_Area_Req_mm2,TopBar_utilisation,TopBar_Design_Status,TopBar_Spacing_mm,ShearForce_kN,ShearBar_leg_nos,ShearBar_Dia_mm,ShearBar_Spacing_mm,ShearBar_Prov_Asv_mm2perm,Ved_Prov_kN,Ved_Req_kN,Ved_utilisation,Shear_Design_Status,Source_File
11,2B68-S4-R,150,450,1 layer x 2no,2T25,982,100,85,98,701,701,0.713849287,PASS,2 layers x 2no,2T25+2T25,1964,200,82,95,1552,1552,0.790224033,PASS,6,,,2,8,100,1005.309649,208,191,0.918269231,PASS,2B68_Beam_Audit_Table R3 No Fill.csv
13,2B68-S5-L,150,450,1 layer x 2no,2T25,982,90,85,98,662,662,0.67413442,PASS,2 layers x 2no,2T25+2T25,1964,190,82,95,1481,1481,0.75407332,PASS,6,,,2,8,100,1005.309649,208,178,0.855769231,PASS,2B68_Beam_Audit_Table R3 No Fill.csv
12,2B68-S5-M,150,450,2 layers x 2no,2T25+2T20,1610,95,85,98,712,712,0.442236025,PASS,1 layer x 2no,2T20,628,195,82,95,130,130,0.207006369,PASS,6,,,2,6,175,323.1352444,67,115,1.71641791,FAIL,2B68_Beam_Audit_Table R3 No Fill.csv
14,2B68-S5-R,150,450,1 layer x 2no,2T25,982,85,85,98,655,655,0.66700611,PASS,2 layers x 2no,2T25+2T25,1964,185,82,95,1476,1476,0.751527495,PASS,6,,,2,8,100,1005.309649,208,175,0.841346154,PASS,2B68_Beam_Audit_Table R3 No Fill.csv
16,2B68-S6-L,150,450,1 layer x 2no,2T25,982,75,85,98,642,642,0.653767821,PASS,2 layers x 2no,2T25+2T25,1964,170,82,95,1415,1415,0.720468432,PASS,6,,,2,8,100,1005.309649,208,161,0.774038462,PASS,2B68_Beam_Audit_Table R3 No Fill.csv
15,2B68-S6-M,150,450,2 layers x 2no,2T25+2T20,1610,80,85,98,712,712,0.442236025,PASS,1 layer x 2no,2T20,628,180,82,95,144,144,0.229299363,PASS,6,,,2,6,175,323.1352444,67,113,1.686567164,FAIL,2B68_Beam_Audit_Table R3 No Fill.csv
17,2B68-S6-R,150,450,1 layer x 2no,2T25,982,70,85,98,623,623,0.634419552,PASS,2 layers x 2no,2T25+2T25,1964,165,82,95,1421,1421,0.723523422,PASS,6,,,2,8,100,1005.309649,208,168,0.807692308,PASS,2B68_Beam_Audit_Table R3 No Fill.csv
18,2B68-S7-L,150,450,1 layer x 2no,2T25,982,68,85,98,756,756,0.769857434,PASS,1 layer x 2no,2T25+2T25,1964,160,82,95,1640,1640,0.83503055,PASS,6,,,2,8,100,1005.309649,208,186,0.894230769,PASS,2B68_Beam_Audit_Table R3 No Fill.csv
19,2B68-S7-M,150,450,1 layer x 2no,2T25,982,66,85,98,772,772,0.786150713,PASS,1 layer x 2no,2T20,628,155,82,95,154,154,0.24522293,PASS,6,,,2,6,175,323.1352444,67,123,1.835820896,FAIL,2B68_Beam_Audit_Table R3 No Fill.csv
20,2B68-S7-R,150,450,1 layer x 2no,2T25,982,64,85,98,763,763,0.776985743,PASS,2 layers x 2no,2T25+2T20,1610,150,82,95,1635,1635,1.01552795,PASS,6,,,2,8,100,1005.309649,208,235,1.129807692,FAIL,2B68_Beam_Audit_Table R3 No Fill.csv
1,2B69-S1-L,150,600,2 layer x 2no,2T25 + 2T20,1608,118,91,104,650,650,0.404228856,PASS,PASS,3 layer x 2no,2T25 + 2T25 + 2T20,2455,147,92,107,1522,1522,0.619959267,PASS,PASS,2,2,6,100,565.4866776,159,157,0.987421384,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
2,2B69-S1-R,150,600,2 layer x 2no,2T25 + 2T20,1608,116,91,104,1768,1768,1.099502488,FAIL,PASS,3 layer x 2no,2T25 + 2T25 + 2T20,2455,144,92,107,2973,2973,1.210997963,FIAL,PASS,,2,10,100,1570.796327,440,314,0.713636364,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
3,2B69-S1-L,150,500,1 layer x 2no,2T25,982,114,91,104,765,765,0.779022403,PASS,PASS,3 layer x 2no,2T25 + 2T25 + 2T20,2455,141,92,107,1246,1246,0.507535642,PASS,PASS,,2,6,100,565.4866776,131,224,1.709923664,FAIL,2B69_Beam_Audit_Table R3 No Fill.csv
4,2B69-S2-M,150,500,1 layer x 2no,2T25,982,112,91,104,1143,1143,1.16395112,FAIL,PASS,1 layer x 2no,2T20,628,138,92,107,336,336,0.535031847,PASS,PASS,,2,6,175,323.1352444,75,131,1.746666667,FAIL,2B69_Beam_Audit_Table R3 No Fill.csv
5,2B69-S2-R,150,500,1 layer x 2no,2T25,982,110,91,104,744,744,0.757637475,PASS,PASS,2 layer x 2no,2T25 + 2T16,1382,135,92,107,1588,1588,1.149059334,FIAL,PASS,,2,6,175,323.1352444,75,174,2.32,FAIL,2B69_Beam_Audit_Table R3 No Fill.csv
6,2B69-S2-L,150,500,1 layer x 2no,2T25,982,108,91,104,203,203,0.206720978,PASS,PASS,1 layer x 2no,2T20,628,132,92,107,430,430,0.684713376,PASS,PASS,,2,6,175,323.1352444,75,75,1,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
7,2B69-S3-M,150,500,1 layer x 2no,2T25,982,106,91,104,377,377,0.383910387,PASS,PASS,1 layer x 2no,2T20,628,129,92,107,107,107,0.170382166,PASS,PASS,,2,6,100,565.4866776,131,59,0.450381679,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
8,2B69-S3-R,150,500,1 layer x 2no,2T25,982,104,91,104,213,213,0.216904277,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,126,92,107,477,477,0.243367347,PASS,PASS,,2,6,100,565.4866776,131,88,0.671755725,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
9,2B69-S3-L,150,500,2 layer x 2no,2T25 + 2T25,1960,102,91,104,734,734,0.374489796,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,123,92,107,1543,1543,0.787244898,PASS,PASS,,2,8,100,1005.309649,233,182,0.78111588,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
10,2B69-S4-M,150,500,1 layer x 2no,2T25,982,100,91,104,1068,1068,1.087576375,FAIL,PASS,1 layer x 2no,2T20,628,120,92,107,309,309,0.492038217,PASS,PASS,,2,6,175,323.1352444,75,121,1.613333333,FAIL,2B69_Beam_Audit_Table R3 No Fill.csv
11,2B69-S4-R,150,500,1 layer x 2no,2T25,982,98,91,104,695,695,0.707739308,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,117,92,107,1541,1541,0.78622449,PASS,PASS,,2,8,100,1005.309649,233,181,0.776824034,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
12,2B69-S4-L,150,500,1 layer x 2no,2T25,982,96,91,104,688,688,0.700610998,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,114,92,107,1530,1530,0.780612245,PASS,PASS,,2,8,100,1005.309649,233,180,0.772532189,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
13,2B69-S5-M,150,500,2 layer x 2no,2T25 + 2T20,1608,94,91,104,1109,1109,0.689676617,PASS,PASS,1 layer x 2no,2T20,628,111,92,107,309,309,0.492038217,PASS,PASS,,2,6,175,323.1352444,75,120,1.6,FAIL,2B69_Beam_Audit_Table R3 No Fill.csv
14,2B69-S5-R,150,500,1 layer x 2no,2T25,982,92,91,104,681,681,0.693482688,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,108,92,107,1514,1514,0.77244898,PASS,PASS,,2,8,100,1005.309649,233,178,0.763948498,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
15,2B69-S5-L,150,500,1 layer x 2no,2T25,982,90,91,104,681,681,0.693482688,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,105,92,107,1525,1525,0.778061224,PASS,PASS,,2,8,100,1005.309649,233,174,0.746781116,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
16,2B69-S6-M,150,500,2 layer x 2no,2T25 + 2T20,1608,88,91,104,1146,1146,0.712686567,PASS,PASS,1 layer x 2no,2T20,628,102,92,107,309,309,0.492038217,PASS,PASS,,2,6,175,323.1352444,75,122,1.626666667,FAIL,2B69_Beam_Audit_Table R3 No Fill.csv
17,2B69-S6-R,150,500,1 layer x 2no,2T25,982,86,91,104,688,688,0.700610998,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,99,92,107,1530,1530,0.780612245,PASS,PASS,,2,8,100,1005.309649,233,180,0.772532189,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
18,2B69-S6-L,150,500,1 layer x 2no,2T25,982,84,91,104,729,729,0.742362525,PASS,PASS,2 layer x 2no,2T25 + 2T25,1960,96,92,107,1596,1596,0.814285714,PASS,PASS,,2,8,100,1005.309649,233,187,0.802575107,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
19,2B69-S7-M,150,500,1 layer x 2no,2T25,982,82,91,104,1083,1083,1.102851324,FAIL,PASS,1 layer x 2no,2T20,628,93,92,107,325,325,0.517515924,PASS,PASS,,2,6,175,323.1352444,75,125,1.666666667,FAIL,2B69_Beam_Audit_Table R3 No Fill.csv
20,2B69-S7-R,150,500,1 layer x 2no,2T25,982,80,91,104,729,729,0.742362525,PASS,PASS,2 layer x 2no,2T25 + 2T20,1608,90,92,107,1576,1576,0.980099502,PASS,PASS,,2,8,100,1005.309649,233,243,1.042918455,PASS,2B69_Beam_Audit_Table R3 No Fill.csv
1,2B71-S1-L,150,600,2 layer x 2no,2T25 + 2T20,1610,146,108,123,650,650,0.403726708,PASS,PASS,3 layer x 2no,2T25 + 2T25 + 2T20,2906,292,103,119,1522,1522,0.523743978,PASS,PASS,2,2,6,100,565.4866776,159,157,0.987421384,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
2,2B71-S1-R,150,600,2 layer x 2no,2T25 + 2T20,1610,298,107,121,1518,1768,1.098136646,FAIL,PASS,3 layer x 2no,2T25 + 2T25 + 2T20,2906,596,102,118,2973,2973,1.023055747,PASS,PASS,2,2,10,100,1570.796327,440,314,0.713636364,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
3,2B71-S2-L,150,500,1 layer x 2no,2T25,982,139,91,104,772,772,0.786150713,PASS,PASS,3 layer x 2no,2T25 + 2T25 + 2T20,2906,194,83,100,1240,1240,0.426703372,PASS,PASS,2,2,6,100,565.4866776,131,225,1.717557252,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
4,2B71-S2-M,150,500,1 layer x 2no,2T25,982,192,91,104,1148,1148,1.16904277,FAIL,PASS,1 layer x 2no,2T16,402,68,92,110,334,334,0.830845771,PASS,PASS,2,2,6,175,323.1352444,75,131,1.746666667,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
5,2B71-S2-R,150,500,1 layer x 2no,2T25,982,136,91,104,751,751,0.764765784,PASS,PASS,2 layer x 2no,2T25 + 2T16,1786,271,88,102,1604,1604,0.898096305,PASS,PASS,2,2,6,175,323.1352444,75,174,2.32,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
6,2B71-S3-L,150,500,1 layer x 2no,2T16,402,4,92,110,110,110,0.273631841,PASS,PASS,1 layer x 2no,2T16,402,5,92,110,110,110,0.273631841,PASS,PASS,2,2,6,175,323.1352444,75,21,0.28,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
7,2B71-S3-M,150,500,1 layer x 2no,2T16,402,7,92,110,34,110,0.273631841,PASS,PASS,1 layer x 2no,2T16,402,4,92,110,110,110,0.273631841,PASS,PASS,2,2,6,175,323.1352444,75,20,0.266666667,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
8,2B71-S3-R,150,500,1 layer x 2no,2T16,402,5,92,110,24,110,0.273631841,PASS,PASS,1 layer x 2no,2T16,402,10,92,110,110,110,0.273631841,PASS,PASS,2,2,6,175,323.1352444,75,22,0.293333333,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
9,2B72-S1-L,150,500,1 layer x 2no,2T25,982,20,92,110,79,686,0.698574338,PASS,PASS,2 layer x 2no,2T25 + 2T20,1610,74,92,110,1509,1509,0.937267081,PASS,PASS,2,2,10,100,1570.796327,364,184,0.505494505,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
10,2B72-S1-M,150,500,1 layer x 2no,2T25,982,20,92,110,79,1098,1.118126273,FAIL,PASS,1 layer x 2no,2T20,402,74,92,110,320,320,0.7960199,PASS,PASS,2,2,6,175,323.1352444,75,123,1.64,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
11,2B72-S1-R,150,500,1 layer x 2no,2T25,982,20,92,110,79,708,0.720977597,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,74,92,110,1538,1538,0.783494651,PASS,PASS,2,2,8,175,574.4626567,133,183,1.37593985,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
12,2B72-S2-M,150,500,1 layer x 2no,2T25,982,20,92,110,79,715,0.728105906,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,74,92,110,1549,1549,0.789098319,PASS,PASS,2,2,8,100,1005.309649,233,184,0.789699571,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
13,2B72-S2-R,150,500,1 layer x 2no,2T25,982,20,92,110,79,1103,1.123217923,FAIL,PASS,1 layer x 2no,2T20,628,74,92,110,320,320,0.50955414,PASS,PASS,2,2,6,175,323.1352444,75,123,1.64,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
14,2B72-S2-M,150,500,1 layer x 2no,2T25,982,20,92,110,79,701,0.713849287,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,74,92,110,1533,1533,0.780947529,PASS,PASS,2,2,8,100,1005.309649,233,183,0.785407725,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
15,2B72-S3-R,150,500,1 layer x 2no,2T25,982,20,92,110,79,701,0.713849287,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,74,92,110,1527,1527,0.777890983,PASS,PASS,2,2,8,100,1005.309649,233,176,0.755364807,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
16,2B72-S3-M,150,500,1 layer x 2no,2T25,982,20,92,110,79,1214,1.236252546,FAIL,PASS,1 layer x 2no,2T20,628,74,92,110,315,315,0.501592357,PASS,PASS,2,2,6,175,323.1352444,75,122,1.626666667,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
17,2B72-S3-R,150,500,1 layer x 2no,2T25,982,20,92,110,79,648,0.6598778,PASS,PASS,1 layer x 2no,2T25,982,74,92,110,1399,1399,1.424643585,FAIL,PASS,2,2,8,100,1005.309649,233,166,0.712446352,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
18,2B88-S1-L,150,600,1 layer x 2no,2T25,982,177,139,158,739,739,0.752545825,PASS,PASS,1 layer x 2no,2T25,982,10,139,158,40,158,0.16089613,PASS,PASS,2,2,6,100,565.4866776,159,130,0.817610063,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
19,2B88-S1-M,150,600,2 layer x 2no,2T25 + 2T16,1384,293,136,156,1391,1391,1.005057803,PASS,PASS,1 layer x 2no,2T25,982,10,139,158,40,158,0.16089613,PASS,PASS,2,2,6,175,323.1352444,91,112,1.230769231,FAIL,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
20,2B88-S1-R,150,600,1 layer x 2no,2T25,982,158,139,158,652,652,0.66395112,PASS,PASS,1 layer x 2no,2T25,982,10,139,158,40,158,0.16089613,PASS,PASS,2,2,6,100,565.4866776,159,109,0.685534591,PASS,2B71-72-88_Beam_Audit_Table R2 No Fill.csv
1,2B82-S1-L,150,600,2 layer x 2no,2T25 + 2T20,1610,156,108,123,702,702,0.436024845,PASS,PASS,3 layer x 3no,2T25 + 2T25 + 2T25,2945,311,101,119,1630,1630,0.553480475,PASS,PASS,2,2,6,175,323.1352444,91,167,1.835164835,FAIL,2B82_Beam_Audit_Table R1 No Fill.csv
2,2B82-S1-R,150,600,2 layer x 2no,2T25 + 2T20,1610,312,107,121,1590,1964,1.219875776,FAIL,PASS,3 layer x 3no,2T25 + 2T25 + 2T25,2945,624,101,117,3151,3151,1.069949066,FAIL,PASS,2,2,10,100,1570.796327,440,323,0.734090909,PASS,2B82_Beam_Audit_Table R1 No Fill.csv
3,2B82-S2-L,150,500,1 layer x 2no,2T25,982,129,91,103,708,708,0.720977597,PASS,PASS,3 layer x 3no,2T25 + 2T25 + 2T25,2945,178,81,97,1179,1179,0.400339559,PASS,PASS,2,2,8,100,1005.309649,233,208,0.892703863,PASS,2B82_Beam_Audit_Table R1 No Fill.csv
4,2B82-S2-M,150,500,1 layer x 2no,2T25,982,175,91,104,1051,1051,1.070264766,FAIL,PASS,1 layer x 2no,2T20,628,57,92,107,278,278,0.442675159,PASS,PASS,2,2,6,175,323.1352444,75,116,1.546666667,FAIL,2B82_Beam_Audit_Table R1 No Fill.csv
5,2B82-S2-R,150,500,1 layer x 2no,2T25,982,114,91,103,610,610,0.621181263,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,228,86,99,1399,1399,0.712684666,PASS,PASS,2,2,8,100,1005.309649,233,136,0.583690987,PASS,2B82_Beam_Audit_Table R1 No Fill.csv
6,2B82-S3-L,150,500,1 layer x 2no,2T25,982,136,91,103,756,756,0.769857434,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,272,86,99,1640,1640,0.835455935,PASS,PASS,2,2,8,100,1005.309649,233,152,0.652360515,PASS,2B82_Beam_Audit_Table R1 No Fill.csv
7,2B82-S3-M,150,500,1 layer x 2no,2T25,982,216,91,103,756,1270,1.293279022,FAIL,PASS,1 layer x 2no,2T20,628,75,86,99,1640,336,0.535031847,PASS,PASS,2,2,6,175,323.1352444,75,120,1.6,FAIL,2B82_Beam_Audit_Table R1 No Fill.csv
8,2B82-S3-R,150,500,1 layer x 2no,2T25,982,37,91,103,756,756,0.769857434,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,75,86,99,1640,1640,0.835455935,PASS,PASS,2,2,8,100,1005.309649,233,154,0.660944206,PASS,2B82_Beam_Audit_Table R1 No Fill.csv
9,2B82-S4-L,150,500,1 layer x 2no,2T25,982,136,91,103,756,591,0.601832994,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,272,86,99,1366,1366,0.695873663,PASS,PASS,2,2,8,100,1005.309649,233,133,0.570815451,PASS,2B82_Beam_Audit_Table R1 No Fill.csv
10,2B82-S4-M,150,500,1 layer x 2no,2T25,982,216,91,103,756,1017,1.035641548,PASS,PASS,1 layer x 2no,2T20,628,75,86,99,273,273,0.434713376,PASS,PASS,2,2,6,175,323.1352444,75,119,1.586666667,FAIL,2B82_Beam_Audit_Table R1 No Fill.csv
11,2B82-S4-R,150,500,1 layer x 2no,2T25,982,37,91,103,756,511,0.520366599,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,75,86,99,1142,1142,0.581762608,PASS,PASS,2,2,8,100,1005.309649,233,139,0.596566524,PASS,2B82_Beam_Audit_Table R1 No Fill.csv
1,2B83-S1-L,125,450,2,10,157,2,69,80,11,80,0.51,PASS,FAIL,2,10,157,2,94,107,11,107,0.682,PASS,PASS,2,2,6,175,323,67,14,0.21,PASS,2B83_Beam_Audit_Table R1 No Fill.csv
1,2B85-S1-L,150,500,2,25,982,124,91,103,675,675,0.687,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,248,86,99,1508,1508,0.768211921,PASS,PASS,2,2,8,100,1005.309649,233,146,0.626609442,PASS,2B85_Beam_Audit_Table R1 No Fill.csv
2,2B85-S1-M,150,500,2,25,982,178,91,104,1077,1077,1.097,FAIL,PASS,2,20,628,68,92,107,336,336,0.535031847,PASS,PASS,2,2,6,175,323.1352444,75,122,1.626666667,FAIL,2B85_Beam_Audit_Table R1 No Fill.csv
3,2B85-S1-R,150,500,2,25,982,137,91,102,768,768,0.782077393,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,273,86,99,1655,1655,0.8430973,PASS,PASS,2,2,10,125,1256.637061,291,247,0.848797251,PASS,2B85_Beam_Audit_Table R1 No Fill.csv
1,2B86-S1-L,150,600,2 layer x 2no,2T16,402,79,112,132,314,314,0.781094527,PASS,PASS,3 layer x 3no,2T25 + 2T25 + 2T16,2366,159,104,120,754,754,0.318681319,PASS,PASS,2,2,6,100,565.4866776,159,92,0.578616352,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
2,2B86-S1-R,150,600,2 layer x 2no,2T16,402,149,111,130,635,635,1.57960199,FAIL,PASS,3 layer x 3no,2T25 + 2T25 + 2T16,2366,298,103,120,1532,1532,0.64750634,PASS,PASS,2,2,10,100,1570.796327,440,148,0.336363636,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
3,2B86-S2-R,150,600,1 layer x 2no,2T25,982,86,113,133,319,585,0.595723014,PASS,PASS,3 layer x 3no,2T25 + 2T25 + 2T16,2366,172,106,123,765,997,0.421386306,PASS,PASS,2,2,8,100,1005.309649,282,210,0.744680851,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
4,2B86-S2-L,150,600,1 layer x 2no,2T25,982,88,114,134,322,899,0.915478615,PASS,PASS,1 layer x 2no,2T16,2366,176,107,124,770,256,0.108199493,PASS,PASS,2,2,6,175,323.1352444,91,102,1.120879121,FAIL,2B86_Beam_Audit_Table R2 No Fill.csv
5,2B86-S3-R,150,600,1 layer x 2no,2T25,982,90,115,135,325,560,0.570264766,PASS,PASS,2 layer x 2no,2T25 + 2T20,1610,180,108,125,775,1296,0.804968944,PASS,PASS,2,2,8,100,1005.309649,282,130,0.460992908,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
6,2B86-S3-L,150,600,1 layer x 2no,2T25,982,92,116,136,328,655,0.66700611,PASS,PASS,2 layer x 2no,2T25 + 2T20,1610,184,109,126,780,1458,0.905590062,PASS,PASS,2,2,8,100,1005.309649,282,142,0.503546099,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
7,2B86-S4-R,150,500,1 layer x 2no,2T25,982,94,117,137,331,1123,1.143584521,FAIL,PASS,1 layer x 2no,2T16,402,188,110,127,785,297,0.73880597,PASS,PASS,2,2,6,175,323.1352444,75,101,1.346666667,FAIL,2B86_Beam_Audit_Table R2 No Fill.csv
8,2B86-S4-L,150,500,1 layer x 2no,2T25,982,96,118,138,334,655,0.66700611,PASS,PASS,2 layer x 2no,2T25 + 2T20,1610,192,111,128,790,1463,0.908695652,PASS,PASS,2,2,8,100,1005.309649,233,143,0.613733906,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
9,2B86-S5-R,150,500,1 layer x 2no,2T25,982,98,119,139,337,610,0.621181263,PASS,PASS,2 layer x 2no,2T25 + 2T20,1610,196,112,129,795,1377,0.855279503,PASS,PASS,2,2,8,100,1005.309649,233,136,0.583690987,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
10,2B86-S5-L,150,500,1 layer x 2no,2T25,982,100,120,140,340,1051,1.070264766,FAIL,PASS,1 layer x 2no,2T16,402,200,113,130,800,277,0.689054726,PASS,PASS,2,2,6,175,323.1352444,75,96,1.28,FAIL,2B86_Beam_Audit_Table R2 No Fill.csv
11,2B86-S6-R,150,500,1 layer x 2no,2T25,982,102,121,141,343,604,0.615071283,PASS,PASS,2 layer x 2no,2T25 + 2T20,1610,204,114,131,805,1371,0.851552795,PASS,PASS,2,2,8,100,1005.309649,233,134,0.575107296,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
12,2B86-S6-L,150,500,1 layer x 2no,2T25,982,104,122,142,346,610,0.621181263,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,208,115,132,810,1399,0.712684666,PASS,PASS,2,2,8,100,1005.309649,233,134,0.575107296,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
13,2B86-S7-R,150,500,2 layer x 2no,2T25 + 2T16,1384,106,123,143,349,1099,0.794075145,PASS,PASS,1 layer x 2no,2T20,628,212,116,133,815,283,0.450636943,PASS,PASS,2,2,6,175,323.1352444,75,97,1.293333333,FAIL,2B86_Beam_Audit_Table R2 No Fill.csv
14,2B86-S7-L,150,500,1 layer x 2no,2T25,982,108,124,144,352,623,0.634419552,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,216,117,134,820,1415,0.720835456,PASS,PASS,2,2,8,100,1005.309649,233,140,0.600858369,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
15,2B86-S8-R,150,500,1 layer x 2no,2T25,982,110,125,145,355,572,0.582484725,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,220,118,135,825,1333,0.679062659,PASS,PASS,2,2,8,100,1005.309649,233,128,0.549356223,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
16,2B86-S8-L,150,500,1 layer x 2no,2T25,982,112,126,146,358,1017,1.035641548,PASS,PASS,1 layer x 2no,2T20,628,224,119,136,830,262,0.417197452,PASS,PASS,2,2,6,175,323.1352444,75,92,1.226666667,FAIL,2B86_Beam_Audit_Table R2 No Fill.csv
17,2B86-S9-R,150,500,1 layer x 2no,2T25,982,114,127,147,361,572,0.582484725,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,228,120,137,835,1333,0.679062659,PASS,PASS,2,2,8,100,1005.309649,233,130,0.557939914,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
18,2B86-S9-L,150,500,1 layer x 2no,2T25,982,116,128,148,364,629,0.640529532,PASS,PASS,2 layer x 2no,2T25 + 2T25,1963,232,121,138,840,1437,0.732042792,PASS,PASS,2,2,8,100,1005.309649,233,140,0.600858369,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
19,2B86-S10-R,150,500,1 layer x 2no,2T25,982,118,129,149,367,927,0.943991853,PASS,PASS,1 layer x 2no,2T20,628,236,122,139,845,299,0.47611465,PASS,PASS,2,2,6,175,323.1352444,75,108,1.44,FAIL,2B86_Beam_Audit_Table R2 No Fill.csv
20,2B86-S10-L,150,500,1 layer x 2no,2T25,982,120,130,150,370,662,0.67413442,PASS,PASS,2 layer x 2no,2T25 + 2T20,1610,240,123,140,850,1468,0.911801242,PASS,PASS,2,2,8,100,1005.309649,233,220,0.944206009,PASS,2B86_Beam_Audit_Table R2 No Fill.csv
1,2B87-S1-L,125,600,2,16,402,71,94,104,283,283,0.7039801,PASS,PASS,2,16,402,34,94,104,134,134,0.333333333,PASS,PASS,2,2,6,175,323.1352444,91,15,0.164835165,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
2,2B87-S1-M,125,600,2,16,402,84,94,104,339,339,0.843283582,PASS,PASS,2,16,402,35,94,104,138,138,0.343283582,PASS,PASS,2,2,6,175,323.1352444,91,57,0.626373626,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
3,2B87-S1-R,125,600,2,16,402,69,94,104,275,275,0.684079602,PASS,PASS,2,20,628,137,93,103,591,591,0.941082803,PASS,FAIL,2,2,6,175,323.1352444,91,67,0.736263736,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
4,2B87-S2-L,125,600,2,16,402,68,94,104,270,270,0.671641791,PASS,PASS,2,20,628,136,93,103,586,586,0.933121019,PASS,FAIL,2,2,6,175,323.1352444,91,64,0.703296703,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
